price,num_subscribers,num_reviews,num_lectures,content_duration,published_timestamp,subject
200,2147,23,51,1.5,2017-01-18T20:58:58Z,Business Finance
75,2792,923,274,39,2017-03-09T16:34:20Z,Business Finance
45,2174,74,51,2.5,2016-12-19T19:26:30Z,Business Finance
95,2451,11,36,3,2017-05-30T20:07:24Z,Business Finance
200,1276,45,26,2,2016-12-13T14:57:18Z,Business Finance
150,9221,138,25,3,2014-05-02T15:13:30Z,Business Finance
65,1540,178,26,1,2016-02-21T18:23:12Z,Business Finance
95,2917,148,23,2.5,2015-01-30T22:13:03Z,Business Finance
195,5172,34,38,2.5,2015-05-28T00:14:03Z,Business Finance
200,827,14,15,1,2017-04-18T18:13:32Z,Business Finance
200,4284,93,76,5,2015-09-11T16:47:02Z,Business Finance
200,1380,42,17,1,2016-10-18T22:52:31Z,Business Finance
30,3607,21,19,1.5,2016-02-03T18:04:01Z,Business Finance
195,4061,52,16,2,2016-03-16T15:40:19Z,Business Finance
200,294,19,42,7,2017-04-28T16:41:44Z,Business Finance
75,2276,106,19,1.5,2015-06-22T21:18:35Z,Business Finance
20,4919,79,16,1.5,2016-01-08T17:21:26Z,Business Finance
200,2666,115,52,4,2015-08-10T21:07:35Z,Business Finance
50,5354,24,23,1.5,2015-09-21T18:10:34Z,Business Finance
95,8095,249,12,0.583333333,2013-06-09T00:21:26Z,Business Finance
200,809,3,25,2,2017-06-06T02:54:04Z,Business Finance
200,2295,84,39,4,2016-05-02T19:26:48Z,Business Finance
75,10149,83,16,2,2015-05-26T17:25:46Z,Business Finance
50,1916,38,23,1,2016-12-05T22:14:17Z,Business Finance
45,2507,333,40,2,2016-05-30T18:53:46Z,Business Finance
150,5786,518,50,5,2015-01-31T15:34:05Z,Business Finance
200,5334,373,42,4.5,2014-11-28T17:49:03Z,Business Finance
175,4005,237,25,2,2015-04-12T20:13:47Z,Business Finance
150,2877,103,81,4.5,2016-04-26T22:41:46Z,Business Finance
140,1026,25,37,3,2017-06-27T22:21:31Z,Business Finance
95,1165,21,41,2.5,2017-05-28T23:41:03Z,Business Finance
200,1843,171,35,1.5,2016-10-04T15:20:57Z,Business Finance
45,8797,449,80,6.5,2015-01-09T03:55:15Z,Business Finance
200,1030,11,22,2,2017-06-01T05:22:08Z,Business Finance
200,1041,12,28,1.5,2017-06-11T19:02:03Z,Business Finance
195,7884,118,68,10,2015-05-19T23:25:41Z,Business Finance
195,16900,2476,52,5.5,2014-12-12T23:58:39Z,Business Finance
200,11441,1118,61,4.5,2016-06-28T06:12:23Z,Business Finance
195,22257,2697,138,7.5,2014-11-25T23:00:40Z,Business Finance
195,8575,809,110,5.5,2016-10-10T16:16:26Z,Business Finance
195,24481,2347,174,10,2016-01-21T01:38:48Z,Business Finance
195,3811,278,103,6.5,2017-03-30T22:17:09Z,Business Finance
195,4991,137,79,11.5,2017-03-29T22:36:05Z,Business Finance
115,7489,1190,25,1,2015-10-22T21:54:28Z,Business Finance
200,20195,1113,227,16,2014-10-27T22:01:36Z,Business Finance
150,10042,594,43,3,2015-10-22T00:03:48Z,Business Finance
95,367,42,35,5,2017-06-21T23:18:47Z,Business Finance
200,10603,872,42,5.5,2014-10-12T21:19:11Z,Business Finance
190,1197,11,46,5,2017-05-24T23:02:07Z,Business Finance
150,2893,65,62,2,2016-08-10T15:27:06Z,Business Finance
200,1580,12,53,2,2017-05-02T21:20:54Z,Business Finance
95,10605,71,77,3,2014-10-24T18:13:49Z,Business Finance
125,2996,200,23,2,2015-03-09T00:24:38Z,Business Finance
30,6219,23,20,1,2017-02-14T04:42:58Z,Business Finance
200,1113,11,17,1.5,2017-04-02T21:46:00Z,Business Finance
60,8314,83,47,4,2015-01-24T06:31:19Z,Business Finance
200,5572,123,33,5.5,2014-03-27T17:58:37Z,Business Finance
